,index,0,1,2,3,4,5
0,-15.8_16.32_-15.7_134.22,"[-15.8, 16.32, -15.7, 134.22, -12.6000011510446, 22.8452858364301, -12.5000011510446, 134.217285836430]","[-12.6000011510446, 22.8452858364301, -12.5000011510446, 134.217285836430, -9.40000230208913, 29.3705716728603, -9.30000230208914, 134.214571672860]","[-9.40000230208913, 29.3705716728603, -9.30000230208914, 134.214571672860, -6.20000345313369, 35.8958575092904, -6.10000345313370, 134.211857509290]","[-6.20000345313369, 35.8958575092904, -6.10000345313370, 134.211857509290, -3.00000460417826, 42.4211433457206, -2.90000460417827, 134.209143345720]","[-3.00000460417826, 42.4211433457206, -2.90000460417827, 134.209143345720, 0.199994244777180, 48.9464291821507, 0.299994244777160, 134.206429182150]",
1,24.02_8.54_209.9_7.46,"[24.02, 8.54, 209.9, 7.46, 24.0385923265921, 20.2799459878867, 209.918592326592, 10.6599459878866]","[24.0385923265921, 20.2799459878867, 209.918592326592, 10.6599459878866, 24.0571846531843, 32.0198919757733, 209.937184653184, 13.8598919757733]",,,,
2,16.14_-12.1_12.72_-196.66,"[16.14, -12.1, 12.72, -196.66, 12.9405492691443, -16.8807123889276, 9.52054926914426, -196.600712388928]","[12.9405492691443, -16.8807123889276, 9.52054926914426, -196.600712388928, 9.74109853828852, -21.6614247778552, 6.32109853828852, -196.541424777855]","[9.74109853828852, -21.6614247778552, 6.32109853828852, -196.541424777855, 6.54164780743278, -26.4421371667828, 3.12164780743278, -196.482137166783]","[6.54164780743278, -26.4421371667828, 3.12164780743278, -196.482137166783, 3.34219707657704, -31.2228495557104, -0.0778029234229578, -196.422849555710]","[3.34219707657704, -31.2228495557104, -0.0778029234229578, -196.422849555710, 0.142746345721301, -36.0035619446380, -3.27725365427870, -196.363561944638]",
3,-23.6_-4.34_-155.52_-5.84,"[-23.6, -4.34, -155.52, -5.84, -23.5636166636088, -11.8797931578202, -155.483616663609, -9.03979315782021]","[-23.5636166636088, -11.8797931578202, -155.483616663609, -9.03979315782021, -23.5272333272177, -19.4195863156404, -155.447233327217, -12.2395863156404]",,,,
4,223.78_9.9_222.8_-205.2,"[223.78, 9.9, 222.8, -205.2, 220.580033211199, 29.7145791141466, 219.600033211199, -205.185420885852]",,,,,
5,209.7_-5.24_23.42_-4.22,"[209.7, -5.24, 23.42, -4.22, 209.682478252793, -13.6799520290740, 23.4024782527934, -7.41995202907400]","[209.682478252793, -13.6799520290740, 23.4024782527934, -7.41995202907400, 209.664956505587, -22.1199040581480, 23.3849565055868, -10.6199040581480]",,,,
6,467.04_-14.48_468.16_-199.55,"[467.04, -14.48, 468.16, -199.55, 463.840058596551, -43.4593652908190, 464.960058596550, -199.569365290819]",,,,,
7,452.92_-9.66_231.24_-5.5,"[452.92, -9.66, 231.24, -5.5, 452.859960047472, -22.5194367010617, 231.179960047472, -8.69943670106169]","[452.859960047472, -22.5194367010617, 231.179960047472, -8.69943670106169, 452.799920094943, -35.3788734021233, 231.119920094944, -11.8988734021234]",,,,
8,699.17_5.52_698.91_76.34,"[699.17, 5.52, 698.91, 76.34, 702.369978434951, 9.21174801458750, 702.109978434952, 76.3517480145875]","[702.369978434951, 9.21174801458750, 702.109978434952, 76.3517480145875, 705.569956869903, 12.9034960291750, 705.309956869903, 76.3634960291750]","[705.569956869903, 12.9034960291750, 705.309956869903, 76.3634960291750, 708.769935304854, 16.5952440437625, 708.509935304855, 76.3752440437624]",,,
9,726.34_-2.54_791.72_-3.24,"[726.34, -2.54, 791.72, -3.24, 726.374259278422, -4.42018339559249, 791.754259278421, -0.0401833955924471]",,,,,
10,721.89_-19.28_722.89_-197.4,"[721.89, -19.28, 722.89, -197.4, 718.690050429463, -28.9379651334524, 719.690050429463, -197.417965133452]","[718.690050429463, -28.9379651334524, 719.690050429463, -197.417965133452, 715.490100858925, -38.5959302669047, 716.490100858926, -197.435930266905]","[715.490100858925, -38.5959302669047, 716.490100858926, -197.435930266905, 712.290151288388, -48.2538954003571, 713.290151288389, -197.453895400357]","[712.290151288388, -48.2538954003571, 713.290151288389, -197.453895400357, 709.090201717851, -57.9118605338094, 710.090201717852, -197.471860533810]",,
11,688.5_-11.72_474.6_-10.76,"[688.5, -11.72, 474.6, -10.76, 688.485638293310, -26.6399677719285, 474.585638293311, -13.9599677719285]","[688.485638293310, -26.6399677719285, 474.585638293311, -13.9599677719285, 688.471276586620, -41.5599355438570, 474.571276586621, -17.1599355438570]",,,,
12,697.34_-197.06_696.28_-18.98,"[697.34, -197.06, 696.28, -18.98, 700.539943312164, -295.570952718380, 699.479943312164, -18.9609527183800]","[700.539943312164, -295.570952718380, 699.479943312164, -18.9609527183800, 703.739886624329, -394.081905436760, 702.679886624329, -18.9419054367600]","[703.739886624329, -394.081905436760, 702.679886624329, -18.9419054367600, 706.939829936493, -492.592858155140, 705.879829936493, -18.9228581551400]","[706.939829936493, -492.592858155140, 705.879829936493, -18.9228581551400, 710.139773248657, -591.103810873520, 709.079773248657, -18.9038108735200]",,
13,727.48_-204.68_865.18_-205.42,"[727.48, -204.68, 865.18, -205.42, 727.497196556332, -283.352046206826, 865.197196556333, -202.220046206826]","[727.497196556332, -283.352046206826, 865.197196556333, -202.220046206826, 727.514393112665, -362.024092413652, 865.214393112666, -199.020092413651]","[727.514393112665, -362.024092413652, 865.214393112666, -199.020092413651, 727.531589668997, -440.696138620477, 865.231589668998, -195.820138620477]","[727.531589668997, -440.696138620477, 865.231589668998, -195.820138620477, 727.548786225330, -519.368184827303, 865.248786225331, -192.620184827303]","[727.548786225330, -519.368184827303, 865.248786225331, -192.620184827303, 727.565982781662, -598.040231034129, 865.265982781664, -189.420231034129]",
14,719.2_-241.78_713.72_-392.74,"[719.2, -241.78, 713.72, -392.74, 716.002106339448, -402.850579906864, 710.522106339448, -392.623913240198]","[716.002106339448, -402.850579906864, 710.522106339448, -392.623913240198, 712.804212678896, -563.921159813728, 707.324212678897, -392.507826480395]","[712.804212678896, -563.921159813728, 707.324212678897, -392.507826480395, 709.606319018344, -724.991739720591, 704.126319018345, -392.391739720593]",,,
15,689.62_-233.32_475.76_-232.38,"[689.62, -233.32, 475.76, -232.38, 689.605934859516, -353.179969089198, 475.745934859516, -235.579969089198]","[689.605934859516, -353.179969089198, 475.745934859516, -235.579969089198, 689.591869719032, -473.039938178396, 475.731869719033, -238.779938178396]","[689.591869719032, -473.039938178396, 475.731869719033, -238.779938178396, 689.577804578548, -592.899907267594, 475.717804578549, -241.979907267594]","[689.577804578548, -592.899907267594, 475.717804578549, -241.979907267594, 689.563739438064, -712.759876356792, 475.703739438066, -245.179876356792]",,
16,458.62_-199.14_457.5_-14.08,"[458.62, -199.14, 457.5, -14.08, 461.819941397117, -398.260633662787, 460.699941397117, -14.0606336627861]","[461.819941397117, -398.260633662787, 460.699941397117, -14.0606336627861, 465.019882794233, -597.381267325573, 463.899882794234, -14.0412673255723]",,,,
17,476.38_-206.8_690.2_-207.72,"[476.38, -206.8, 690.2, -207.72, 476.393768462955, -307.000029620539, 690.213768462955, -204.520029620539]","[476.393768462955, -307.000029620539, 690.213768462955, -204.520029620539, 476.407536925910, -407.200059241078, 690.227536925910, -201.320059241078]","[476.407536925910, -407.200059241078, 690.227536925910, -201.320059241078, 476.421305388865, -507.400088861617, 690.241305388866, -198.120088861617]","[476.421305388865, -507.400088861617, 690.241305388866, -198.120088861617, 476.435073851820, -607.600118482156, 690.255073851821, -194.920118482156]",,
18,471.92_-239.9_475.56_-400.1,"[471.92, -239.9, 475.56, -400.1, 468.720825713919, -479.872690352068, 472.360825713919, -400.172690352068]","[468.720825713919, -479.872690352068, 472.360825713919, -400.172690352068, 465.521651427839, -719.845380704136, 469.161651427839, -400.245380704137]",,,,
19,454.54_-232.56_229.94_-234.84,"[454.54, -232.56, 229.94, -234.84, 454.572482743102, -352.039835131909, 229.972482743102, -238.039835131909]","[454.572482743102, -352.039835131909, 229.972482743102, -238.039835131909, 454.604965486205, -471.519670263818, 230.004965486204, -241.239670263819]","[454.604965486205, -471.519670263818, 230.004965486204, -241.239670263819, 454.637448229307, -590.999505395728, 230.037448229307, -244.439505395728]","[454.637448229307, -590.999505395728, 230.037448229307, -244.439505395728, 454.669930972409, -710.479340527637, 230.069930972409, -247.639340527637]",,
20,213.26_-204.66_220.52_-9.38,"[213.26, -204.66, 220.52, -9.38, 216.457790836910, -409.438885505305, 223.717790836910, -9.49888550530520]","[216.457790836910, -409.438885505305, 223.717790836910, -9.49888550530520, 219.655581673821, -614.217771010610, 226.915581673821, -9.61777101061041]",,,,
21,230.48_-209.32_454.56_-207.0,"[230.48, -209.32, 454.56, -207.0, 230.446870750944, -310.780171496337, 454.526870750944, -203.800171496337]","[230.446870750944, -310.780171496337, 454.526870750944, -203.800171496337, 230.413741501887, -412.240342992673, 454.493741501888, -200.600342992673]","[230.413741501887, -412.240342992673, 454.493741501888, -200.600342992673, 230.380612252831, -513.700514489010, 454.460612252832, -197.400514489010]","[230.380612252831, -513.700514489010, 454.460612252832, -197.400514489010, 230.347483003775, -615.160685985346, 454.427483003776, -194.200685985346]",,
22,225.58_-239.42_216.7_-404.7,"[225.58, -239.42, 216.7, -404.7, 222.384608571444, -478.668321176878, 213.504608571444, -404.528321176878]","[222.384608571444, -478.668321176878, 213.504608571444, -404.528321176878, 219.189217142887, -717.916642353756, 210.309217142887, -404.356642353756]",,,,
23,208.42_-234.64_20.24_-219.76,"[208.42, -234.64, 20.24, -219.76, 208.167753038880, -355.150042549968, 19.9877530388801, -222.950042549968]","[208.167753038880, -355.150042549968, 19.9877530388801, -222.950042549968, 207.915506077761, -475.660085099936, 19.7355060777602, -226.140085099936]","[207.915506077761, -475.660085099936, 19.7355060777602, -226.140085099936, 207.663259116641, -596.170127649904, 19.4832591166403, -229.330127649904]","[207.663259116641, -596.170127649904, 19.4832591166403, -229.330127649904, 207.411012155521, -716.680170199872, 19.2310121555204, -232.520170199872]",,
24,-12.8_-199.22_-12.56_-11.4,"[-12.8, -199.22, -12.56, -11.4, -9.60000261251181, -298.834089018065, -9.36000261251181, -11.4040890180651]","[-9.60000261251181, -298.834089018065, -9.36000261251181, -11.4040890180651, -6.40000522502362, -398.448178036130, -6.16000522502361, -11.4081780361302]","[-6.40000522502362, -398.448178036130, -6.16000522502361, -11.4081780361302, -3.20000783753542, -498.062267054196, -2.96000783753542, -11.4122670541953]","[-3.20000783753542, -498.062267054196, -2.96000783753542, -11.4122670541953, -1.04500472293267e-5, -597.676356072261, 0.239989549952774, -11.4163560722604]",,
25,20.94_-206.92_209.14_-209.16,"[20.94, -206.92, 209.14, -209.16, 20.9780844438539, -307.180226636911, 209.178084443854, -205.960226636911]","[20.9780844438539, -307.180226636911, 209.178084443854, -205.960226636911, 21.0161688877077, -407.440453273821, 209.216168887708, -202.760453273821]","[21.0161688877077, -407.440453273821, 209.216168887708, -202.760453273821, 21.0542533315616, -507.700679910732, 209.254253331562, -199.560679910732]","[21.0542533315616, -507.700679910732, 209.254253331562, -199.560679910732, 21.0923377754154, -607.960906547642, 209.292337775416, -196.360906547642]",,
26,12.96_-239.68_14.68_-405.56,"[12.96, -239.68, 14.68, -405.56, 9.76017201004321, -359.553178828929, 11.4801720100432, -405.593178828929]","[9.76017201004321, -359.553178828929, 11.4801720100432, -405.593178828929, 6.56034402008642, -479.426357657858, 8.28034402008641, -405.626357657858]","[6.56034402008642, -479.426357657858, 8.28034402008641, -405.626357657858, 3.36051603012963, -599.299536486787, 5.08051603012962, -405.659536486787]","[3.36051603012963, -599.299536486787, 5.08051603012962, -405.659536486787, 0.160688040172834, -719.172715315716, 1.88068804017282, -405.692715315716]",,
27,-20.64_-232.2_-123.84_-231.88,"[-20.64, -232.2, -123.84, -231.88, -20.6499224329191, -351.499984616420, -123.849922432919, -235.079984616420]","[-20.6499224329191, -351.499984616420, -123.849922432919, -235.079984616420, -20.6598448658382, -470.799969232840, -123.859844865838, -238.279969232840]","[-20.6598448658382, -470.799969232840, -123.859844865838, -238.279969232840, -20.6697672987573, -590.099953849260, -123.869767298757, -241.479953849260]","[-20.6697672987573, -590.099953849260, -123.869767298757, -241.479953849260, -20.6796897316764, -709.399938465680, -123.879689731677, -244.679938465680]",,
28,-10.9_-405.36_-12.64_-239.54,"[-10.9, -405.36, -12.64, -239.54, -7.70017616060553, -608.006423269325, -9.44017616060553, -239.506423269325]","[-7.70017616060553, -608.006423269325, -9.44017616060553, -239.506423269325, -4.50035232121106, -810.652846538650, -6.24035232121106, -239.472846538650]","[-4.50035232121106, -810.652846538650, -6.24035232121106, -239.472846538650, -1.30052848181659, -1013.29926980797, -3.04052848181660, -239.439269807974]","[-1.30052848181659, -1013.29926980797, -3.04052848181660, -239.439269807974, 1.89929535757788, -1215.94569307730, 0.159295357577871, -239.405693077299]",,
29,19.38_-412.56_202.98_-409.08,"[19.38, -412.56, 202.98, -409.08, 19.3193572976061, -615.640574666812, 202.919357297606, -405.880574666812]","[19.3193572976061, -615.640574666812, 202.919357297606, -405.880574666812, 19.2587145952122, -818.721149333624, 202.858714595213, -402.681149333623]","[19.2587145952122, -818.721149333624, 202.858714595213, -402.681149333623, 19.1980718928183, -1021.80172400044, 202.798071892819, -399.481724000435]","[19.1980718928183, -1021.80172400044, 202.798071892819, -399.481724000435, 19.1374291904244, -1224.88229866725, 202.737429190425, -396.282298667247]",,
30,11.9_-446.32_12.28_-511.12,"[11.9, -446.32, 12.28, -511.12, 8.70005502068122, -743.885431776113, 9.08005502068122, -511.138765109446]","[8.70005502068122, -743.885431776113, 9.08005502068122, -511.138765109446, 5.50011004136245, -1041.45086355223, 5.88011004136244, -511.157530218893]","[5.50011004136245, -1041.45086355223, 5.88011004136244, -511.157530218893, 2.30016506204367, -1339.01629532834, 2.68016506204366, -511.176295328339]",,,
31,-18.56_-438.72_-104.3_-438.54,"[-18.56, -438.72, -104.3, -438.54, -18.5667179698004, -661.279992948255, -104.306717969800, -441.739992948255]","[-18.5667179698004, -661.279992948255, -104.306717969800, -441.739992948255, -18.5734359396008, -883.839985896510, -104.313435939601, -444.939985896510]","[-18.5734359396008, -883.839985896510, -104.313435939601, -444.939985896510, -18.5801539094012, -1106.39997884476, -104.320153909401, -448.139978844764]","[-18.5801539094012, -1106.39997884476, -104.320153909401, -448.139978844764, -18.5868718792016, -1328.95997179302, -104.326871879202, -451.339971793019]",,
32,210.32_-404.1_212.9_-238.74,"[210.32, -404.1, 212.9, -238.74, 213.519610579164, -808.249921355190, 216.099610579164, -238.789921355190]","[213.519610579164, -808.249921355190, 216.099610579164, -238.789921355190, 216.719221158327, -1212.39984271038, 219.299221158327, -238.839842710380]",,,,
33,229.5_-411.88_454.92_-407.78,"[229.5, -411.88, 454.92, -407.78, 229.441807158177, -683.267195836489, 454.861807158177, -404.580529169822]","[229.441807158177, -683.267195836489, 454.861807158177, -404.580529169822, 229.383614316354, -954.654391672977, 454.803614316354, -401.381058339644]","[229.383614316354, -954.654391672977, 454.803614316354, -401.381058339644, 229.325421474531, -1226.04158750947, 454.745421474531, -398.181587509466]",,,
34,222.22_-445.2_220.7_-509.96,"[222.22, -445.2, 220.7, -509.96, 219.020881077445, -890.324912588600, 217.500881077445, -509.884912588600]","[219.020881077445, -890.324912588600, 217.500881077445, -509.884912588600, 215.821762154890, -1335.44982517720, 214.301762154890, -509.809825177199]",,,,
